stream,cwnd,units
[  7]   3.50-3.60   sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
[  7]   3.60-3.70   sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
[  7]   3.70-3.80   sec  0.00 Bytes  0.00 bits/sec    4,1.41, KBytes       
[  7]   3.80-3.90   sec  53.7 KBytes  4.41 Mbits/sec    3,1.41, KBytes       
[  7]   3.90-4.00   sec  0.00 Bytes  0.00 bits/sec    0,4.24, KBytes       
[  7]   4.00-4.10   sec  0.00 Bytes  0.00 bits/sec    1,4.24, KBytes       
[  7]   4.10-4.20   sec  0.00 Bytes  0.00 bits/sec    0,4.24, KBytes       
[  7]   4.20-4.30   sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
[  7]   4.30-4.40   sec  55.1 KBytes  4.54 Mbits/sec    2,2.83, KBytes       
[  7]   4.40-4.50   sec  0.00 Bytes  0.00 bits/sec    0,5.66, KBytes       
[  7]   4.50-4.60   sec  0.00 Bytes  0.00 bits/sec    0,5.66, KBytes       
[  7]   4.60-4.70   sec  0.00 Bytes  0.00 bits/sec    2,4.24, KBytes       
[  7]   4.70-4.80   sec  0.00 Bytes  0.00 bits/sec    0,5.66, KBytes       
[  7]   4.80-4.90   sec  53.7 KBytes  4.40 Mbits/sec    0,5.66, KBytes       
[  7]   4.90-5.00   sec  0.00 Bytes  0.00 bits/sec    3,4.24, KBytes       
[  7]   5.00-5.10   sec  0.00 Bytes  0.00 bits/sec    0,5.66, KBytes       
[  7]   5.10-5.20   sec  0.00 Bytes  0.00 bits/sec    0,5.66, KBytes       
[  7]   5.20-5.30   sec  0.00 Bytes  0.00 bits/sec    3,2.83, KBytes       
[  7]   5.30-5.40   sec  0.00 Bytes  0.00 bits/sec    1,5.66, KBytes       
[  7]   5.40-5.50   sec  53.7 KBytes  4.41 Mbits/sec    0,5.66, KBytes       
[  7]   5.50-5.60   sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
[  7]   5.60-5.70   sec  0.00 Bytes  0.00 bits/sec    0,8.48, KBytes       
[  7]   5.70-5.80   sec  0.00 Bytes  0.00 bits/sec    0,8.48, KBytes       
[  7]   5.80-5.90   sec  0.00 Bytes  0.00 bits/sec    2,5.66, KBytes       
[  7]   5.90-6.00   sec  56.6 KBytes  4.65 Mbits/sec    0,7.07, KBytes       
[  7]   6.00-6.10   sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
[  7]   6.10-6.20   sec  0.00 Bytes  0.00 bits/sec    0,8.48, KBytes       
[  7]   6.20-6.30   sec  0.00 Bytes  0.00 bits/sec    2,7.07, KBytes       
[  7]   6.30-6.40   sec  0.00 Bytes  0.00 bits/sec    2,5.66, KBytes       
[  7]   6.40-6.50   sec  55.1 KBytes  4.52 Mbits/sec    0,5.66, KBytes       
[  7]   6.50-6.60   sec  0.00 Bytes  0.00 bits/sec    0,5.66, KBytes       
[  7]   6.60-6.70   sec  0.00 Bytes  0.00 bits/sec    0,5.66, KBytes       
[  7]   6.70-6.80   sec  0.00 Bytes  0.00 bits/sec    0,5.66, KBytes       
[  7]   6.80-6.90   sec  0.00 Bytes  0.00 bits/sec    5,2.83, KBytes       
[  7]   6.90-7.00   sec  0.00 Bytes  0.00 bits/sec    0,4.24, KBytes       
[  7]   7.00-7.10   sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
[  7]   7.10-7.20   sec  0.00 Bytes  0.00 bits/sec    0,8.48, KBytes       
[  7]   7.20-7.30   sec  56.6 KBytes  4.65 Mbits/sec    0,9.9, KBytes       
[  7]   7.30-7.40   sec  0.00 Bytes  0.00 bits/sec    4,2.83, KBytes       
[  7]   7.40-7.50   sec  0.00 Bytes  0.00 bits/sec    1,7.07, KBytes       
[  7]   7.50-7.60   sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
[  7]   7.60-7.70   sec  0.00 Bytes  0.00 bits/sec    2,5.66, KBytes       
[  7]   7.70-7.80   sec  0.00 Bytes  0.00 bits/sec    2,2.83, KBytes       
[  7]   7.80-7.90   sec  53.7 KBytes  4.40 Mbits/sec    0,4.24, KBytes       
[  7]   7.90-8.00   sec  0.00 Bytes  0.00 bits/sec    0,5.66, KBytes       
[  7]   8.00-8.10   sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
[  7]   8.10-8.20   sec  0.00 Bytes  0.00 bits/sec    0,8.48, KBytes       
[  7]   8.20-8.30   sec  59.4 KBytes  4.86 Mbits/sec    0,9.9, KBytes       
[  7]   8.30-8.40   sec  0.00 Bytes  0.00 bits/sec    0,9.9, KBytes       
[  7]   8.40-8.50   sec  0.00 Bytes  0.00 bits/sec    2,7.07, KBytes       
[  7]   8.50-8.60   sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
[  7]   8.60-8.70   sec  0.00 Bytes  0.00 bits/sec    0,8.48, KBytes       
[  7]   8.70-8.80   sec  56.6 KBytes  4.62 Mbits/sec    0,8.48, KBytes       
[  7]   8.80-8.90   sec  0.00 Bytes  0.00 bits/sec    0,9.9, KBytes       
[  7]   8.90-9.00   sec  0.00 Bytes  0.00 bits/sec    0,11.3, KBytes       
[  7]   9.00-9.10   sec  0.00 Bytes  0.00 bits/sec    2,7.07, KBytes       
[  7]   9.10-9.20   sec  0.00 Bytes  0.00 bits/sec    1,4.24, KBytes       
[  7]   9.20-9.30   sec  52.3 KBytes  4.28 Mbits/sec    3,5.66, KBytes       
[  7]   9.30-9.40   sec  0.00 Bytes  0.00 bits/sec    1,4.24, KBytes       
[  7]   9.40-9.50   sec  0.00 Bytes  0.00 bits/sec    1,5.66, KBytes       
[  7]   9.50-9.60   sec  0.00 Bytes  0.00 bits/sec    0,5.66, KBytes       
[  7]   9.60-9.70   sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
[  7]   9.70-9.80   sec  55.1 KBytes  4.52 Mbits/sec    2,5.66, KBytes       
[  7]   9.80-9.90   sec  0.00 Bytes  0.00 bits/sec    0,5.66, KBytes       
[  7]   9.90-10.00  sec  0.00 Bytes  0.00 bits/sec    0,7.07, KBytes       
